compound_id,safe_id,smiles,category,mw,logp,source
CID657302,CID657302,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],academic_HTS_hit,274.26,-0.44,pubchem
CID11153014,CID11153014,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,academic_HTS_hit,373.87,4.51,pubchem
CID71567,CID71567,N[C@H](Cc1ccccc1)C(=O)O,academic_HTS_hit,165.19,0.64,pubchem
CID56339,CID56339,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,academic_HTS_hit,362.28,1.55,pubchem
CID65013,CID65013,CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O,academic_HTS_hit,302.37,2.24,pubchem
CID65833,CID65833,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,academic_HTS_hit,246.35,1.77,pubchem
CID5464343,CID5464343,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,academic_HTS_hit,405.45,0.88,pubchem
CID6917779,CID6917779,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,academic_HTS_hit,246.35,1.77,pubchem
CID3132,CID3132,O=C(O)CNC(=O)C(CS)Cc1ccccc1,academic_HTS_hit,253.32,0.98,pubchem
CID163701,CID163701,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN.Cl,academic_HTS_hit,282.82,2.19,pubchem
CID3775,CID3775,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,academic_HTS_hit,353.53,4.11,pubchem
CID72060,CID72060,CCC(C(=O)NC(N)=O)c1ccccc1,academic_HTS_hit,206.24,1.38,pubchem
CID994,CID994,NC(Cc1ccccc1)C(=O)O,academic_HTS_hit,165.19,0.64,pubchem
CID117761397,CID117761397,CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O,academic_HTS_hit,273.34,2.29,pubchem
CID10391,CID10391,O=C(CCCl)NCc1ccccc1,academic_HTS_hit,197.66,1.93,pubchem
CID11597698,CID11597698,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,academic_HTS_hit,263.38,1.19,pubchem
CID92258,CID92258,NC(=O)CC[C@H](NC(=O)Cc1ccccc1)C(=O)O,academic_HTS_hit,264.28,0.06,pubchem
CID71992,CID71992,CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,academic_HTS_hit,406.5,1.71,pubchem
CID6479523,CID6479523,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,academic_HTS_hit,461.5,0.09,pubchem
CID11148955,CID11148955,CCCC(C(=O)c1ccccc1)N1CCCC1,academic_HTS_hit,231.34,3.13,pubchem
CID10184529,CID10184529,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3C[C@H](O)CO3)c(Cc3c[nH]c4ncccc34)sc21,academic_HTS_hit,483.55,1.63,pubchem
CID470708,CID470708,CCN1c2ncc(CSc3ccncc3)cc2C(=O)N(C)c2ccc(Cl)nc21,academic_HTS_hit,411.92,4.57,pubchem
CID50922681,CID50922681,CC(C)CCNc1ncccc1C(=O)N1CCN(Cc2ccccc2)CC1,academic_HTS_hit,366.51,3.5,pubchem
CID45139106,CID45139106,CS(=O)(=O)O.N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,academic_HTS_hit,493.59,4.18,pubchem
CID11315474,CID11315474,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,academic_HTS_hit,397.48,4.68,pubchem
CID25108829,CID25108829,Cc1nc(-c2cccnc2)sc1C(=O)Nc1ccccc1-c1cn2c(CN3CCOCC3)csc2n1,academic_HTS_hit,516.65,4.97,pubchem
CID5479539,CID5479539,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,academic_HTS_hit,514.59,-1.04,pubchem
CID135413525,CID135413525,Nc1nc2c(Cc3cccnc3)c[nH]c2c(=O)[nH]1,academic_HTS_hit,241.25,0.82,pubchem
CID71234,CID71234,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,academic_HTS_hit,284.32,1.02,pubchem
CID9952773,CID9952773,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,academic_HTS_hit,399.52,6.0,pubchem
CID25257557,CID25257557,Cc1cnc(CNC(=O)c2c(=O)c3ccc(N4CCCN(C)CC4)nc3n3c2sc2ccccc23)cn1,academic_HTS_hit,513.63,3.23,pubchem
CID120053,CID120053,O=C1Nc2cccnc2N(C(=O)CCl)c2ccccc21,academic_HTS_hit,287.71,2.55,pubchem
CID129532613,CID129532613,CC(C)(NC(=O)c1cn(CCCCCF)c2ncccc12)c1ccccc1,academic_HTS_hit,367.47,4.84,pubchem
CID11339118,CID11339118,O=C(Nc1ccc(C(F)(F)F)cn1)N1CCN(c2ncccc2C(F)(F)F)CC1,academic_HTS_hit,419.33,3.87,pubchem
CID704473,CID704473,Cc1cccc(Nc2nc(-c3ccncc3)cs2)c1,academic_HTS_hit,267.36,4.26,pubchem
CID9864291,CID9864291,CCc1cccc(C)c1CNc1cc(C(N)=O)cn2c(C)c(C)nc12,academic_HTS_hit,336.44,3.53,pubchem
CID23627211,CID23627211,CC#Cc1cncc(-c2csc([C@]3(C)CC(=O)N(C)C(N)=N3)c2)c1,academic_HTS_hit,338.44,2.57,pubchem
CID89655386,CID89655386,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,academic_HTS_hit,478.94,5.92,pubchem
CID6539985,CID6539985,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,academic_HTS_hit,375.46,4.89,pubchem
CID9902100,CID9902100,CC(=O)Nc1ccc([C@H](C)C(=O)Nc2ncc(C(C)C)s2)cc1,academic_HTS_hit,331.44,3.97,pubchem
CID11559235,CID11559235,CN(C)c1ccnc2sc3c(=O)n(N4CCCCCC4)cnc3c12,academic_HTS_hit,343.46,2.58,pubchem
